,,,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Week Start,Week End,Position,Track Name,Artist,Streams,URL
2/4/22,2/11/22,180,Fuck Love (feat. Trippie Redd),XXXTENTACION,1632897,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
2/4/22,2/11/22,181,The Less I Know The Better,Tame Impala,1627219,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
2/4/22,2/11/22,182,Heartbreak Anniversary,Giveon,1621691,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
2/4/22,2/11/22,183,trademark usa,Baby Keem,1619150,https://open.spotify.com/track/15hJmqqEtASVXl6sM7i4UF
2/4/22,2/11/22,184,Bound 2,Kanye West,1611452,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i
2/4/22,2/11/22,185,Not Allowed,TV Girl,1610898,https://open.spotify.com/track/0jA4h2SD50Oak4C3Vn905a
2/4/22,2/11/22,186,Back In Blood (feat. Lil Durk),Pooh Shiesty,1609142,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
2/4/22,2/11/22,187,It Was A Good Day,Ice Cube,1605888,https://open.spotify.com/track/2qOm7ukLyHUXWyR4ZWLwxA
2/4/22,2/11/22,188,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,1603342,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
2/4/22,2/11/22,189,Robbery,Juice WRLD,1602031,https://open.spotify.com/track/6iaSML1PIYq936g62BDtBq
2/4/22,2/11/22,190,Smells Like Teen Spirit - Remastered,Nirvana,1601081,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
2/4/22,2/11/22,191,The Rumbling (TV Size),SiM,1600299,https://open.spotify.com/track/0KCSJzsQVxkloxoT7dyrqV
2/4/22,2/11/22,192,Mood (feat. iann dior),24kGoldn,1599277,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
2/4/22,2/11/22,193,Mount Everest,Labrinth,1598257,https://open.spotify.com/track/1ZdhOMWyFR8Iv9eylMGYg2
2/4/22,2/11/22,194,Godzilla (feat. Juice WRLD),Eminem,1590043,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
2/4/22,2/11/22,195,Beggin',Måneskin,1588526,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
2/4/22,2/11/22,196,Classic,MKTO,1586704,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
2/4/22,2/11/22,197,you broke me first,Tate McRae,1585397,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
