,,,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Week Start,Week End,Position,Track Name,Artist,Streams,URL
2/4/22,2/11/22,198,Swim,Chase Atlantic,1584841,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
2/4/22,2/11/22,199,Talking to the Moon,Bruno Mars,1583370,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
2/4/22,2/11/22,200,Everybody Talks,Neon Trees,1572833,https://open.spotify.com/track/2iUmqdfGZcHIhS3b9E9EWq
1/28/22,2/4/22,1,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,9753070,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
1/28/22,2/4/22,2,pushin P (feat. Young Thug),Gunna,7380445,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
1/28/22,2/4/22,3,Super Gremlin,Kodak Black,6668763,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
1/28/22,2/4/22,4,"Surface Pressure - From ""Encanto""/Soundtrack Version",Jessica Darrow,6465169,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
1/28/22,2/4/22,5,Heat Waves,Glass Animals,6440042,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
1/28/22,2/4/22,6,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,5624020,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
1/28/22,2/4/22,7,STAY (with Justin Bieber),The Kid LAROI,5247760,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
1/28/22,2/4/22,8,abcdefu,GAYLE,4665148,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
1/28/22,2/4/22,9,I Love You So,The Walters,4596062,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
1/28/22,2/4/22,10,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,4403955,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
1/28/22,2/4/22,11,The Family Madrigal,Stephanie Beatriz,4315624,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
1/28/22,2/4/22,12,Need to Know,Doja Cat,4199489,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
1/28/22,2/4/22,13,Easy On Me,Adele,4133148,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
1/28/22,2/4/22,14,Knife Talk (with 21 Savage ft. Project Pat),Drake,4128633,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
1/28/22,2/4/22,15,Cold Heart - PNAU Remix,Elton John,3960564,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
1/28/22,2/4/22,16,What Else Can I Do?,Diane Guerrero,3920478,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
1/28/22,2/4/22,17,Lost,Frank Ocean,3892738,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
1/28/22,2/4/22,18,Dark Red,Steve Lacy,3723342,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
1/28/22,2/4/22,19,good 4 u,Olivia Rodrigo,3707191,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
1/28/22,2/4/22,20,Fingers Crossed,Lauren Spencer-Smith,3687061,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU
1/28/22,2/4/22,21,Woman,Doja Cat,3604632,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
1/28/22,2/4/22,22,Kiss Me More (feat. SZA),Doja Cat,3600671,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
1/28/22,2/4/22,23,I Hate U,SZA,3560637,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
1/28/22,2/4/22,24,family ties (with Kendrick Lamar),Baby Keem,3536456,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
1/28/22,2/4/22,25,Shivers,Ed Sheeran,3302491,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
1/28/22,2/4/22,26,Sweater Weather,The Neighbourhood,3281714,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
1/28/22,2/4/22,27,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,3160814,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
1/28/22,2/4/22,28,Waiting On A Miracle,Stephanie Beatriz,3144604,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
1/28/22,2/4/22,29,THATS WHAT I WANT,Lil Nas X,3106673,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
1/28/22,2/4/22,30,Broadway Girls (feat. Morgan Wallen),Lil Durk,3078712,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
1/28/22,2/4/22,31,Light Switch,Charlie Puth,3048426,https://open.spotify.com/track/1BSMpVGWs3v5BZKnAQziAc
1/28/22,2/4/22,32,Sky,Playboi Carti,2979217,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
1/28/22,2/4/22,33,505,Arctic Monkeys,2963837,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
1/28/22,2/4/22,34,Ghost,Justin Bieber,2963599,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
1/28/22,2/4/22,35,Alien Blues,Vundabar,2930301,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
1/28/22,2/4/22,36,Dos Oruguitas,Sebastian Yatra,2911131,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
1/28/22,2/4/22,37,P power (feat. Drake),Gunna,2910807,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
1/28/22,2/4/22,38,No Role Modelz,J. Cole,2867255,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
1/28/22,2/4/22,39,Meet Me At Our Spot,THE ANXIETY,2860344,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
1/28/22,2/4/22,40,Sacrifice,The Weeknd,2780156,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
1/28/22,2/4/22,41,Smokin Out The Window,Bruno Mars,2773265,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
1/28/22,2/4/22,42,RAPSTAR,Polo G,2753885,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
1/28/22,2/4/22,43,Softcore,The Neighbourhood,2731542,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
1/28/22,2/4/22,44,One Right Now (with The Weeknd),Post Malone,2694945,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
1/28/22,2/4/22,45,Happier Than Ever,Billie Eilish,2653857,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
1/28/22,2/4/22,46,traitor,Olivia Rodrigo,2649239,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
1/28/22,2/4/22,47,Way 2 Sexy (with Future & Young Thug),Drake,2647369,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
1/28/22,2/4/22,48,Ginseng Strip 2002,Yung Lean,2625119,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
1/28/22,2/4/22,49,Notion,The Rare Occasions,2551388,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
1/28/22,2/4/22,50,High,The Chainsmokers,2535790,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
1/28/22,2/4/22,51,Bad Habits,Ed Sheeran,2516602,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
1/28/22,2/4/22,52,20 Min,Lil Uzi Vert,2494421,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
1/28/22,2/4/22,53,Hrs and Hrs,Muni Long,2488168,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
1/28/22,2/4/22,54,Johnny P's Caddy,Benny The Butcher,2474763,https://open.spotify.com/track/6AshXllQhobwSXsdpgp41w
1/28/22,2/4/22,55,Numb Little Bug,Em Beihold,2473809,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
1/28/22,2/4/22,56,vice city,XXXTENTACION,2453845,https://open.spotify.com/track/6MOst484piqXpzPPRRe8i5
1/28/22,2/4/22,57,Freaks,Surf Curse,2448376,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
1/28/22,2/4/22,58,Pepas,Farruko,2441891,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
1/28/22,2/4/22,59,You Right,Doja Cat,2432973,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
1/28/22,2/4/22,60,Infinity,Jaymes Young,2421406,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
1/28/22,2/4/22,61,2055,Sleepy Hallow,2412322,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
1/28/22,2/4/22,62,Wants and Needs (feat. Lil Baby),Drake,2408540,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
1/28/22,2/4/22,63,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2395290,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
1/28/22,2/4/22,64,Levitating (feat. DaBaby),Dua Lipa,2382984,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
1/28/22,2/4/22,65,Space Song,Beach House,2349238,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
1/28/22,2/4/22,66,YKWIM?,Yot Club,2349172,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
1/28/22,2/4/22,67,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2307340,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
1/28/22,2/4/22,68,MONTERO (Call Me By Your Name),Lil Nas X,2293048,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
1/28/22,2/4/22,69,Blinding Lights,The Weeknd,2280809,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
1/28/22,2/4/22,70,Eazy,The Game,2251380,https://open.spotify.com/track/6Ab81Bs9fcOwaTYuBsUUpI
1/28/22,2/4/22,71,Oh My God,Adele,2241737,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
1/28/22,2/4/22,72,By Your Side,Rod Wave,2239123,https://open.spotify.com/track/2AaJeBEq3WLcfFW1y8svDf
1/28/22,2/4/22,73,Get Into It (Yuh),Doja Cat,2236779,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
1/28/22,2/4/22,74,Out of Time,The Weeknd,2234891,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
1/28/22,2/4/22,75,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,2228093,https://open.spotify.com/track/7ACW7VpgoKmfM1sKo15UhX
1/28/22,2/4/22,76,All Of You,Stephanie Beatriz,2224001,https://open.spotify.com/track/4X25mFLehFnxa1TwtLKcE2
1/28/22,2/4/22,77,Rumors (feat. Lil Durk),Gucci Mane,2220813,https://open.spotify.com/track/0P2P1AxcRYhiZvoF5MyRmM
1/28/22,2/4/22,78,Is There Someone Else?,The Weeknd,2219912,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
1/28/22,2/4/22,79,Lucid Dreams,Juice WRLD,2195076,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
1/28/22,2/4/22,80,deja vu,Olivia Rodrigo,2192381,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
1/28/22,2/4/22,81,drivers license,Olivia Rodrigo,2188235,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
1/28/22,2/4/22,82,Big Energy,Latto,2178797,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
1/28/22,2/4/22,83,The Spins,Mac Miller,2176570,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
1/28/22,2/4/22,84,All Girls Are The Same,Juice WRLD,2173351,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
1/28/22,2/4/22,85,Daddy Issues,The Neighbourhood,2167069,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
1/28/22,2/4/22,86,Pursuit Of Happiness (Nightmare),Kid Cudi,2162653,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
1/28/22,2/4/22,87,Buy Dirt,Jordan Davis,2150032,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
1/28/22,2/4/22,88,NEW MAGIC WAND,"Tyler, The Creator",2137635,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
1/28/22,2/4/22,89,Toxic,BoyWithUke,2135062,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
1/28/22,2/4/22,90,Good Days,SZA,2128982,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
1/28/22,2/4/22,91,See You Again (feat. Kali Uchis),"Tyler, The Creator",2125860,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
1/28/22,2/4/22,92,Mr. Rager,Kid Cudi,2111006,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
1/28/22,2/4/22,93,Martin & Gina,Polo G,2104955,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
1/28/22,2/4/22,94,Tell Em,Cochise,2087116,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
1/28/22,2/4/22,95,Jugaste y Sufrí,Eslabon Armado,2040021,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
1/28/22,2/4/22,96,love nwantiti (ah ah ah),CKay,1993657,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
1/28/22,2/4/22,97,Money Trees,Kendrick Lamar,1992776,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
1/28/22,2/4/22,98,Yonaguni,Bad Bunny,1987796,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
1/28/22,2/4/22,99,All For Us - from the HBO Original Series Euphoria,Labrinth,1977090,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
1/28/22,2/4/22,100,Miss The Rage (feat. Playboi Carti),Trippie Redd,1967796,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
1/28/22,2/4/22,101,Fair Trade (with Travis Scott),Drake,1941631,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
1/28/22,2/4/22,102,SLOW DANCING IN THE DARK,Joji,1929693,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
1/28/22,2/4/22,103,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1927984,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
1/28/22,2/4/22,104,Shoota (feat. Lil Uzi Vert),Playboi Carti,1922748,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
1/28/22,2/4/22,105,Work Out,J. Cole,1922450,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
1/28/22,2/4/22,106,Mr. Brightside,The Killers,1918774,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
1/28/22,2/4/22,107,Die For You,The Weeknd,1908124,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
1/28/22,2/4/22,108,Beggin',Måneskin,1895995,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
1/28/22,2/4/22,109,Love & War,Kodak Black,1894455,https://open.spotify.com/track/1WGmhglF1ghRiHsx4YUq86
1/28/22,2/4/22,110,Do It To It,ACRAZE,1891404,https://open.spotify.com/track/20on25jryn53hWghthWWW3
1/28/22,2/4/22,111,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,1882797,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
1/28/22,2/4/22,112,Arya (feat. A$AP Rocky),Nigo,1875705,https://open.spotify.com/track/0Rq6JJwpZ9f1SU6Cfhgjv7
1/28/22,2/4/22,113,Monëy so big,Yeat,1867554,https://open.spotify.com/track/7BbaIYAdi3pg4MGl6PHwPv
1/28/22,2/4/22,114,Streets,Doja Cat,1858678,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
1/28/22,2/4/22,115,Looking Out for You,Joy Again,1835376,https://open.spotify.com/track/3jfZ9M23l0L7RxzYMTgBTv
1/28/22,2/4/22,116,My Universe,Coldplay,1826773,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
1/28/22,2/4/22,117,Dandelions,Ruth B.,1823739,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
1/28/22,2/4/22,118,Me or Sum (feat. Future & Lil Baby),Nardo Wick,1818012,https://open.spotify.com/track/2HHLfzE7PkljuqyYU4vwmh
1/28/22,2/4/22,119,Already Dead,Juice WRLD,1816997,https://open.spotify.com/track/2quVkyLSVr5wX2QIhnexUt
1/28/22,2/4/22,120,Jocelyn Flores,XXXTENTACION,1814176,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
1/28/22,2/4/22,121,DÁKITI,Bad Bunny,1814030,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
1/28/22,2/4/22,122,Praise God,Kanye West,1800794,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
1/28/22,2/4/22,123,LOVE. FEAT. ZACARI.,Kendrick Lamar,1797711,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
1/28/22,2/4/22,124,Ain't Shit,Doja Cat,1790580,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
1/28/22,2/4/22,125,XO Tour Llif3,Lil Uzi Vert,1783918,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
1/28/22,2/4/22,126,I AM WOMAN,Emmy Meli,1780881,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
1/28/22,2/4/22,127,Star Shopping,Lil Peep,1769484,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
1/28/22,2/4/22,128,Redbone,Childish Gambino,1765579,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
1/28/22,2/4/22,129,"Colombia, Mi Encanto",Carlos Vives,1754064,https://open.spotify.com/track/2Q5q1q01KOdHt5fM00WUJ8
1/28/22,2/4/22,130,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,1753204,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
1/28/22,2/4/22,131,Circles,Post Malone,1749423,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
1/28/22,2/4/22,132,Bad Man (Smooth Criminal),Polo G,1747810,https://open.spotify.com/track/62l3NSQPUxvcwwzKUmysrE
1/28/22,2/4/22,133,Robbery,Juice WRLD,1744855,https://open.spotify.com/track/6iaSML1PIYq936g62BDtBq
1/28/22,2/4/22,134,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,1737698,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
1/28/22,2/4/22,135,we fell in love in october,girl in red,1737356,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d
1/28/22,2/4/22,136,thought i was playing,Gunna,1737083,https://open.spotify.com/track/5dqeWGM9sqLd5bZhyBikrZ
1/28/22,2/4/22,137,Man in the Mirror,A Boogie Wit da Hoodie,1736614,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
1/28/22,2/4/22,138,Heather,Conan Gray,1734494,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
1/28/22,2/4/22,139,Love Sosa,Chief Keef,1731453,https://open.spotify.com/track/4IowQDUOzUvNtp72HMDcKO
1/28/22,2/4/22,140,favorite crime,Olivia Rodrigo,1722072,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
1/28/22,2/4/22,141,Heartless,Kanye West,1720138,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
1/28/22,2/4/22,142,Dreams - 2004 Remaster,Fleetwood Mac,1714998,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
1/28/22,2/4/22,143,telepatía,Kali Uchis,1708809,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
1/28/22,2/4/22,144,Save Your Tears,The Weeknd,1701562,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
1/28/22,2/4/22,145,Come & Go (with Marshmello),Juice WRLD,1699448,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
1/28/22,2/4/22,146,Formula,Labrinth,1699060,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
1/28/22,2/4/22,147,Fancy Like,Walker Hayes,1692763,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
1/28/22,2/4/22,148,Whiskey Glasses,Morgan Wallen,1687898,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
1/28/22,2/4/22,149,The Rumbling (TV Size),SiM,1682922,https://open.spotify.com/track/0KCSJzsQVxkloxoT7dyrqV
1/28/22,2/4/22,150,Surround Sound (feat. 21 Savage & Baby Tate),JID,1681127,https://open.spotify.com/track/0cp97b37sFNsdIbQH6po3T
1/28/22,2/4/22,151,my ex's best friend (with blackbear),Machine Gun Kelly,1675023,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
1/28/22,2/4/22,152,The Hills,The Weeknd,1672327,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
1/28/22,2/4/22,153,goosebumps,Travis Scott,1671587,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
1/28/22,2/4/22,154,For Tonight,Giveon,1666624,https://open.spotify.com/track/61Emqg95O9zo1GNOcyxq4Y
1/28/22,2/4/22,155,Ric Flair Drip (with Metro Boomin),Offset,1660454,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
1/28/22,2/4/22,156,The Real Slim Shady,Eminem,1660275,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
1/28/22,2/4/22,157,Not Allowed,TV Girl,1657154,https://open.spotify.com/track/0jA4h2SD50Oak4C3Vn905a
1/28/22,2/4/22,158,Electric Love,BØRNS,1654150,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
1/28/22,2/4/22,159,Wasted On You,Morgan Wallen,1653839,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
1/28/22,2/4/22,160,She Knows (feat. Amber Coffman & Cults),J. Cole,1653229,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
1/28/22,2/4/22,161,MIDDLE CHILD,J. Cole,1646901,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
1/28/22,2/4/22,162,Fuck Love (feat. Trippie Redd),XXXTENTACION,1644457,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
1/28/22,2/4/22,163,Yes Indeed,Lil Baby,1643938,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
1/28/22,2/4/22,164,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,1642851,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
1/28/22,2/4/22,165,Wishing Well,Juice WRLD,1641689,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
1/28/22,2/4/22,166,Washing Machine Heart,Mitski,1639431,https://open.spotify.com/track/3jjsRKEsF42ccXf8kWR3nu
1/28/22,2/4/22,167,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,1637566,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
1/28/22,2/4/22,168,Kilby Girl,The Backseat Lovers,1632594,https://open.spotify.com/track/1170VohRSx6GwE6QDCHPPH
1/28/22,2/4/22,169,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1632373,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
1/28/22,2/4/22,170,Cigarette Daydreams,Cage The Elephant,1626911,https://open.spotify.com/track/2tznHmp70DxMyr2XhWLOW0
1/28/22,2/4/22,171,Leave The Door Open,Bruno Mars,1625544,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
1/28/22,2/4/22,172,My Kind Of Woman,Mac DeMarco,1625142,https://open.spotify.com/track/4tXzPOr4UaBoA7k7pnpJI1
1/28/22,2/4/22,173,Push It (feat. Young Thug),NLE Choppa,1622016,https://open.spotify.com/track/1s3etXt5RKVEuC14ugwmHy
1/28/22,2/4/22,174,Jealous,Eyedress,1620829,https://open.spotify.com/track/1aXV8GrmQLvgoFtBPERP7E
1/28/22,2/4/22,175,Sand In My Boots,Morgan Wallen,1614733,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
1/28/22,2/4/22,176,Heartbreak Anniversary,Giveon,1613520,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
1/28/22,2/4/22,177,HUMBLE.,Kendrick Lamar,1608086,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
1/28/22,2/4/22,178,KEEP IT UP,Rex Orange County,1606791,https://open.spotify.com/track/0ioTTk5l0Zz7Oh48qEocgj
1/28/22,2/4/22,179,Jumpin (feat. Polo G),NLE Choppa,1606518,https://open.spotify.com/track/1z7LV5wkExwW8YJk0IrPUA
1/28/22,2/4/22,180,Mood (feat. iann dior),24kGoldn,1594242,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
1/28/22,2/4/22,181,The Night We Met,Lord Huron,1590548,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
1/28/22,2/4/22,182,No Idea,Don Toliver,1580210,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU
1/28/22,2/4/22,183,Right Down the Line,Gerry Rafferty,1578635,https://open.spotify.com/track/2Xb6wJYGi0QXwURw5WWvI5
1/28/22,2/4/22,184,Smells Like Teen Spirit - Remastered,Nirvana,1576637,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
1/28/22,2/4/22,185,Bound 2,Kanye West,1574940,https://open.spotify.com/track/3sNVsP50132BTNlImLx70i
1/28/22,2/4/22,186,Watermelon Sugar,Harry Styles,1567420,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
1/28/22,2/4/22,187,Without Me,Eminem,1566820,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
1/28/22,2/4/22,188,Classic,MKTO,1566471,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
1/28/22,2/4/22,189,Neon Guts (feat. Pharrell Williams),Lil Uzi Vert,1566166,https://open.spotify.com/track/1MJErNPIQUoEMu4YUUmecm
1/28/22,2/4/22,190,Back In Blood (feat. Lil Durk),Pooh Shiesty,1561008,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
1/28/22,2/4/22,191,Everybody Dies In Their Nightmares,XXXTENTACION,1560428,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
1/28/22,2/4/22,192,Flashing Lights,Kanye West,1558615,https://open.spotify.com/track/31I3Rt1bPa2LrE74DdNizO
1/28/22,2/4/22,193,'Till I Collapse,Eminem,1557157,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
1/28/22,2/4/22,194,Cigarettes,Juice WRLD,1556259,https://open.spotify.com/track/42Xba467wgGvYrR2EE6s0i
1/28/22,2/4/22,195,Gasoline,The Weeknd,1555386,https://open.spotify.com/track/3KyKxJ4P3pVCgaZwaq2rUC
1/28/22,2/4/22,196,Loser,Sueco,1554958,https://open.spotify.com/track/1GAIibUEoZjvG4QsrabVWc
1/28/22,2/4/22,197,Before I Knew It,Mason Ramsey,1552034,https://open.spotify.com/track/3cqWSJzuxZCsglpaxWtosT
